Facility Name,State,Measure Name,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date,Excess Readmission Ratio_standardized,Predicted Readmission Rate_standardized,Expected Readmission Rate_standardized
BERKSHIRE MEDICAL CENTER,MA,COPD,158.0,0.93,16.66,17.9,22,07/01/2020,06/30/2023,-1.242486704431543,-0.30280415573708286,0.38630996273926366
UMASS MEMORIAL HEALTHCARE-MARLBOROUGH HOSPITAL,MA,Pneumonia,202.0,1.04,15.02,14.43,33,07/01/2020,06/30/2023,0.4835058495034518,-1.0245584974116329,-1.472201758156809
UMASS MEMORIAL HEALTHCARE-MARLBOROUGH HOSPITAL,MA,COPD,97.0,1.04,18.06,17.34,20,07/01/2020,06/30/2023,0.4835058495034518,0.3133275993509467,0.08637723544767906
SIGNATURE HEALTHCARE BROCKTON HOSPITAL,MA,Pneumonia,193.0,0.96,15.43,16.08,27,07/01/2020,06/30/2023,-0.7717614624492729,-0.8441199119929953,-0.5884714009583887
SIGNATURE HEALTHCARE BROCKTON HOSPITAL,MA,COPD,215.0,1.18,21.27,18.06,56,07/01/2020,06/30/2023,2.6802236454207167,1.7260296949456448,0.4720050276797167
BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,MA,Pneumonia,746.0,1.03,16.85,16.29,128,07/01/2020,06/30/2023,0.32659743550936127,-0.21918627468942106,-0.47599662822404376
BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,MA,COPD,279.0,0.87,15.52,17.8,35,07/01/2020,06/30/2023,-2.1839371883960865,-0.8045114420230506,0.3327505471514817
LOWELL GENERAL HOSPITAL,MA,Pneumonia,651.0,1.15,19.07,16.53,134,07/01/2020,06/30/2023,2.209498403438445,0.7578226512358834,-0.3474540308133633
LOWELL GENERAL HOSPITAL,MA,COPD,328.0,1.08,19.64,18.24,69,07/01/2020,06/30/2023,1.1111395054798143,1.0086762943788672,0.5684119757377261
BAYSTATE NOBLE HOSPITAL,MA,Pneumonia,149.0,1.06,14.98,14.17,26,07/01/2020,06/30/2023,0.797322677491633,-1.0421622618427189,-1.6114562386850448
BAYSTATE NOBLE HOSPITAL,MA,COPD,96.0,0.99,16.23,16.39,15,07/01/2020,06/30/2023,-0.3010362204670012,-0.4920446233712634,-0.4224372126362599
MERCY MEDICAL CTR,MA,Pneumonia,251.0,1.18,18.97,16.07,59,07/01/2020,06/30/2023,2.6802236454207167,0.7138132401581664,-0.593827342517166
MERCY MEDICAL CTR,MA,COPD,130.0,1.1,20.96,19.13,33,07/01/2020,06/30/2023,1.4249563334679953,1.5896005206047243,1.045090774468996
MELROSEWAKEFIELD HEALTHCARE,MA,Pneumonia,480.0,1.16,18.51,15.97,99,07/01/2020,06/30/2023,2.3664068174325354,0.5113699492006719,-0.6473867581049488
MELROSEWAKEFIELD HEALTHCARE,MA,COPD,193.0,1.18,22.41,18.95,54,07/01/2020,06/30/2023,2.6802236454207167,2.2277369812316126,0.9486838264109865
MASSACHUSETTS GENERAL HOSPITAL,MA,Pneumonia,1049.0,0.96,17.31,17.97,179,07/01/2020,06/30/2023,-0.7717614624492729,-0.016742983731926623,0.423801553650712
MASSACHUSETTS GENERAL HOSPITAL,MA,COPD,373.0,1.1,22.74,20.67,91,07/01/2020,06/30/2023,1.4249563334679953,2.372968037788076,1.869905774520857
MORTON HOSPITAL,MA,Pneumonia,367.0,1.09,16.96,15.58,68,07/01/2020,06/30/2023,1.268047919473905,-0.17077592250393323,-0.8562684788973032
MORTON HOSPITAL,MA,COPD,262.0,1.05,20.14,19.14,56,07/01/2020,06/30/2023,0.6404142634975425,1.2287233497674495,1.050446716027775
SOUTHCOAST HOSPITALS GROUP,MA,Pneumonia,1410.0,0.99,16.29,16.45,229,07/01/2020,06/30/2023,-0.3010362204670012,-0.46563897672463417,-0.3903015632835907
SOUTHCOAST HOSPITALS GROUP,MA,COPD,707.0,1.08,20.84,19.34,152,07/01/2020,06/30/2023,1.1111395054798143,1.5367892273114643,1.1575655472033408
BAYSTATE MEDICAL CENTER,MA,Pneumonia,839.0,1.2,20.16,16.76,182,07/01/2020,06/30/2023,2.994040473408898,1.2375252319829926,-0.22426737496146196
BAYSTATE MEDICAL CENTER,MA,COPD,380.0,1.17,24.64,21.05,104,07/01/2020,06/30/2023,2.523315231426626,3.209146848264689,2.0734315537544323
HOLY FAMILY HOSPITAL,MA,Pneumonia,648.0,1.08,16.47,15.22,112,07/01/2020,06/30/2023,1.1111395054798143,-0.3864220367847447,-1.049082375013322
HOLY FAMILY HOSPITAL,MA,COPD,197.0,1.09,18.19,16.71,41,07/01/2020,06/30/2023,1.268047919473905,0.3705398337519792,-0.25104708275535387
BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,MA,Pneumonia,588.0,1.03,15.32,14.89,92,07/01/2020,06/30/2023,0.32659743550936127,-0.8925302641784831,-1.2258284464530063
BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,MA,COPD,91.0,0.99,16.87,16.97,15,07/01/2020,06/30/2023,-0.3010362204670012,-0.21038439247387797,-0.1117926022271189
EMERSON HOSPITAL -,MA,Pneumonia,311.0,1.03,16.05,15.56,52,07/01/2020,06/30/2023,0.32659743550936127,-0.571261563311153,-0.8669803620148596
EMERSON HOSPITAL -,MA,COPD,59.0,1.07,19.73,18.38,16,07/01/2020,06/30/2023,0.9542310914857236,1.048284764348812,0.6433951575606227
BETH ISRAEL DEACONESS MEDICAL CENTER,MA,Pneumonia,512.0,1.07,18.64,17.47,100,07/01/2020,06/30/2023,0.9542310914857236,0.5685821836017029,0.15600447571179654
BETH ISRAEL DEACONESS MEDICAL CENTER,MA,COPD,191.0,0.95,17.74,18.59,31,07/01/2020,06/30/2023,-0.9286698764433635,0.17249748390225395,0.7558699302949677
MILFORD REGIONAL MEDICAL CENTER,MA,Pneumonia,686.0,1.17,17.97,15.35,134,07/01/2020,06/30/2023,2.523315231426626,0.27371912938100196,-0.9794551347492045
MILFORD REGIONAL MEDICAL CENTER,MA,COPD,343.0,1.12,20.6,18.34,78,07/01/2020,06/30/2023,1.7387731614561766,1.4311666407249455,0.6219713913255099
HEYWOOD HOSPITAL,MA,Pneumonia,237.0,1.01,14.93,14.78,36,07/01/2020,06/30/2023,0.012780607521180043,-1.0641669673815775,-1.2847438035995682
HEYWOOD HOSPITAL,MA,COPD,109.0,1.1,20.08,18.19,28,07/01/2020,06/30/2023,1.4249563334679953,1.2023177031208185,0.5416322679438361
NASHOBA VALLEY MEDICAL CENTER,MA,Pneumonia,114.0,1.08,16.3,15.03,24,07/01/2020,06/30/2023,1.1111395054798143,-0.46123803561686183,-1.1508452646301106
SOUTH SHORE HOSPITAL,MA,Pneumonia,1729.0,1.14,18.33,16.06,326,07/01/2020,06/30/2023,2.0525899894443542,0.4321530092607809,-0.5991832840759451
SOUTH SHORE HOSPITAL,MA,COPD,545.0,1.0,18.04,18.13,98,07/01/2020,06/30/2023,-0.14412780647291057,0.3045257171354036,0.509496618591165
NEWTON-WELLESLEY HOSPITAL,MA,Pneumonia,616.0,1.03,15.1,14.65,95,07/01/2020,06/30/2023,0.32659743550936127,-0.9893509685494596,-1.3543710438636858
NEWTON-WELLESLEY HOSPITAL,MA,COPD,190.0,0.97,17.95,18.58,32,07/01/2020,06/30/2023,-0.6148530484551824,0.26491724716545884,0.7505139887361886
WINCHESTER HOSPITAL,MA,Pneumonia,706.0,1.12,16.22,14.5,122,07/01/2020,06/30/2023,1.7387731614561766,-0.49644556447903576,-1.4347101672453606
WINCHESTER HOSPITAL,MA,COPD,211.0,1.13,17.44,15.46,44,07/01/2020,06/30/2023,1.8956815754502638,0.04046925066910587,-0.9205397776026425
BETH ISRAEL DEACONESS HOSPITAL - MILTON,MA,Pneumonia,361.0,1.04,14.53,13.98,55,07/01/2020,06/30/2023,0.4835058495034518,-1.2402046116924434,-1.7132191283018325
BETH ISRAEL DEACONESS HOSPITAL - MILTON,MA,COPD,127.0,1.05,17.42,16.61,25,07/01/2020,06/30/2023,0.6404142634975425,0.03166736845356277,-0.30460649834313774
BRIGHAM AND WOMEN'S HOSPITAL,MA,Pneumonia,541.0,1.05,19.84,18.84,111,07/01/2020,06/30/2023,0.6404142634975425,1.0966951165343,0.8897684692644254
BRIGHAM AND WOMEN'S HOSPITAL,MA,COPD,222.0,0.92,18.14,19.73,35,07/01/2020,06/30/2023,-1.3993951184256337,0.34853512821312066,1.3664472679956952
GOOD SAMARITAN MEDICAL CENTER,MA,Pneumonia,661.0,1.16,18.61,16.09,133,07/01/2020,06/30/2023,2.3664068174325354,0.5553793602783874,-0.5831154593996095
GOOD SAMARITAN MEDICAL CENTER,MA,COPD,251.0,1.05,18.31,17.43,49,07/01/2020,06/30/2023,0.6404142634975425,0.4233511270452378,0.13458070947668377
TUFTS MEDICAL CENTER,MA,Pneumonia,185.0,1.0,17.74,17.7,33,07/01/2020,06/30/2023,-0.14412780647291057,0.17249748390225395,0.2791911315636979
TUFTS MEDICAL CENTER,MA,COPD,104.0,1.07,22.05,20.7,27,07/01/2020,06/30/2023,0.9542310914857236,2.0693031013518337,1.8859735991971907
FAULKNER HOSPITAL-BRIGHAM AND WOMEN'S,MA,Pneumonia,316.0,1.06,17.06,16.07,58,07/01/2020,06/30/2023,0.797322677491633,-0.12676651142621773,-0.593827342517166
FAULKNER HOSPITAL-BRIGHAM AND WOMEN'S,MA,COPD,103.0,0.93,18.76,20.11,15,07/01/2020,06/30/2023,-1.242486704431543,0.621393476894963,1.5699730472292703
FALMOUTH HOSPITAL,MA,Pneumonia,653.0,1.12,17.06,15.26,119,07/01/2020,06/30/2023,1.7387731614561766,-0.12676651142621773,-1.0276586087782091
FALMOUTH HOSPITAL,MA,COPD,200.0,0.95,15.51,16.32,28,07/01/2020,06/30/2023,-0.9286698764433635,-0.8089123831308221,-0.4599288035477082
UMASS MEMORIAL MEDICAL CENTER/UNIVERSITY CAMPUS,MA,Pneumonia,972.0,1.05,18.36,17.43,182,07/01/2020,06/30/2023,0.6404142634975425,0.44535583258409633,0.13458070947668377
UMASS MEMORIAL MEDICAL CENTER/UNIVERSITY CAMPUS,MA,COPD,351.0,1.04,20.59,19.73,75,07/01/2020,06/30/2023,0.4835058495034518,1.4267656996171731,1.3664472679956952
"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",MA,Pneumonia,713.0,0.95,14.89,15.61,103,07/01/2020,06/30/2023,-0.9286698764433635,-1.0817707318126637,-0.8402006542209686
"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",MA,COPD,180.0,1.03,17.88,17.36,34,07/01/2020,06/30/2023,0.32659743550936127,0.23411065941105721,0.09708911856523546
METROWEST MEDICAL CENTER,MA,Pneumonia,309.0,1.09,17.58,16.17,60,07/01/2020,06/30/2023,1.268047919473905,0.10208242617790758,-0.5402679269293821
METROWEST MEDICAL CENTER,MA,COPD,129.0,0.98,18.84,19.24,23,07/01/2020,06/30/2023,-0.45794463446109174,0.6566010057571354,1.104006131615557
ST VINCENT HOSPITAL,MA,Pneumonia,349.0,1.01,16.66,16.45,59,07/01/2020,06/30/2023,0.012780607521180043,-0.30280415573708286,-0.3903015632835907
ST VINCENT HOSPITAL,MA,COPD,104.0,1.04,18.94,18.25,22,07/01/2020,06/30/2023,0.4835058495034518,0.7006104168348525,0.5737679172965052
ST JOE MERCY HOSPITAL SYSTEM LIVONIA,MI,Pneumonia,432.0,1.01,16.94,16.75,74,07/01/2020,06/30/2023,0.012780607521180043,-0.17957780471947635,-0.2296233165202411
ST JOE MERCY HOSPITAL SYSTEM LIVONIA,MI,COPD,221.0,1.05,20.9,20.0,49,07/01/2020,06/30/2023,0.6404142634975425,1.5631948739580936,1.5110576900827093
PROMEDICA CHARLES AND VIRGINIA HICKMAN HOSPITAL,MI,Pneumonia,192.0,0.98,15.72,16.0,29,07/01/2020,06/30/2023,-0.45794463446109174,-0.7164926198676173,-0.6313189334286142
BRONSON METHODIST HOSPITAL,MI,Pneumonia,414.0,0.9,14.29,15.92,52,07/01/2020,06/30/2023,-1.7132119464138147,-1.345827198278963,-0.6741664658988408
BRONSON METHODIST HOSPITAL,MI,COPD,143.0,0.99,18.0,18.21,25,07/01/2020,06/30/2023,-0.3010362204670012,0.28692195270431736,0.5523441510613925
"ASCENSION PROVIDENCE HOSPITAL, SOUTHFIELD AND NOVI",MI,Pneumonia,568.0,1.0,17.47,17.52,99,07/01/2020,06/30/2023,-0.14412780647291057,0.053672073992419744,0.18278418350568848
"ASCENSION PROVIDENCE HOSPITAL, SOUTHFIELD AND NOVI",MI,COPD,290.0,1.02,20.28,19.9,60,07/01/2020,06/30/2023,0.16968902151527065,1.2903365252762529,1.4574982744949254
BEAUMONT HOSPITAL - DEARBORN,MI,Pneumonia,479.0,1.17,21.04,17.94,112,07/01/2020,06/30/2023,2.523315231426626,1.6248080494668968,0.4077337289743784
BEAUMONT HOSPITAL - DEARBORN,MI,COPD,271.0,1.04,21.32,20.59,60,07/01/2020,06/30/2023,0.4835058495034518,1.7480344004845034,1.8270582420506294
"LAKELAND HOSPITAL, ST JOSEPH",MI,Pneumonia,377.0,0.93,14.47,15.5,50,07/01/2020,06/30/2023,-1.242486704431543,-1.2666102583390728,-0.8991160113675297
"LAKELAND HOSPITAL, ST JOSEPH",MI,COPD,123.0,0.93,16.68,17.97,16,07/01/2020,06/30/2023,-1.242486704431543,-0.2940022735215398,0.423801553650712
PROMEDICA COLDWATER REGIONAL HOSPITAL,MI,Pneumonia,130.0,1.1,16.45,14.92,28,07/01/2020,06/30/2023,1.4249563334679953,-0.39522391900028775,-1.2097606217766717
PROMEDICA COLDWATER REGIONAL HOSPITAL,MI,COPD,74.0,0.99,15.34,15.43,11,07/01/2020,06/30/2023,-0.3010362204670012,-0.88372838196294,-0.936607602278978
SINAI-GRACE HOSPITAL,MI,Pneumonia,126.0,1.03,19.65,19.04,27,07/01/2020,06/30/2023,0.32659743550936127,1.013077235486638,0.9968873004399912
SINAI-GRACE HOSPITAL,MI,COPD,103.0,1.02,24.95,24.48,27,07/01/2020,06/30/2023,0.16968902151527065,3.3455760226056097,3.910519508415392
TRINITY HEALTH OAKLAND HOSPITAL,MI,Pneumonia,469.0,1.1,18.65,16.97,94,07/01/2020,06/30/2023,1.4249563334679953,0.5729831247094737,-0.1117926022271189
TRINITY HEALTH OAKLAND HOSPITAL,MI,COPD,197.0,1.07,22.51,20.96,49,07/01/2020,06/30/2023,0.9542310914857236,2.2717463923093297,2.0252280797254274
MYMICHIGAN MEDICAL CENTER ALMA,MI,Pneumonia,156.0,1.0,17.51,17.59,27,07/01/2020,06/30/2023,-0.14412780647291057,0.07127583842350751,0.22027577441713678
MYMICHIGAN MEDICAL CENTER ALMA,MI,COPD,70.0,1.05,19.7,18.72,17,07/01/2020,06/30/2023,0.6404142634975425,1.0350819410254966,0.8254971705590852
LAKE HURON MEDICAL CENTER,MI,Pneumonia,159.0,0.98,18.0,18.43,27,07/01/2020,06/30/2023,-0.45794463446109174,0.28692195270431736,0.6701748653545146
LAKE HURON MEDICAL CENTER,MI,COPD,60.0,0.99,19.3,19.49,11,07/01/2020,06/30/2023,-0.3010362204670012,0.8590442967146315,1.2379046705850147
SPECTRUM HEALTH UNITED HOSPITAL,MI,Pneumonia,123.0,1.04,15.51,14.85,22,07/01/2020,06/30/2023,0.4835058495034518,-0.8089123831308221,-1.24725221268812
SPECTRUM HEALTH UNITED HOSPITAL,MI,COPD,78.0,1.03,17.28,16.84,15,07/01/2020,06/30/2023,0.32659743550936127,-0.029945807055240494,-0.18141984249123638
MYMICHIGAN MEDICAL CENTER ALPENA,MI,Pneumonia,209.0,0.92,14.06,15.24,24,07/01/2020,06/30/2023,-1.3993951184256337,-1.4470488437577103,-1.0383704918957657
SPECTRUM HEALTH,MI,Pneumonia,481.0,0.92,15.25,16.5,68,07/01/2020,06/30/2023,-1.3993951184256337,-0.9233368519328847,-0.36352185548969884
SPECTRUM HEALTH,MI,COPD,265.0,0.92,18.53,20.11,44,07/01/2020,06/30/2023,-1.3993951184256337,0.520171831416215,1.5699730472292703
MCLAREN BAY REGION,MI,Pneumonia,324.0,1.04,17.93,17.19,61,07/01/2020,06/30/2023,0.4835058495034518,0.25611536494991577,0.00603811206600519
MCLAREN BAY REGION,MI,COPD,211.0,1.08,22.19,20.47,52,07/01/2020,06/30/2023,1.1111395054798143,2.1309162768606367,1.7627869433452892
UNIVERSITY OF MICHIGAN HEALTH SYSTEM,MI,Pneumonia,360.0,1.08,19.11,17.74,74,07/01/2020,06/30/2023,1.1111395054798143,0.7754264156669697,0.3006148977988107
UNIVERSITY OF MICHIGAN HEALTH SYSTEM,MI,COPD,145.0,0.96,20.61,21.56,27,07/01/2020,06/30/2023,-0.7717614624492729,1.4355675818327163,2.346584573252125
HENRY FORD MACOMB HOSPITAL,MI,Pneumonia,613.0,0.98,15.84,16.11,96,07/01/2020,06/30/2023,-0.45794463446109174,-0.6636813265743579,-0.5724035762820532
HENRY FORD MACOMB HOSPITAL,MI,COPD,295.0,0.96,18.47,19.23,52,07/01/2020,06/30/2023,-0.7717614624492729,0.49376618476958417,1.0986501900567798
HENRY FORD HEALTH HOSPITAL,MI,Pneumonia,192.0,1.02,17.49,17.13,35,07/01/2020,06/30/2023,0.16968902151527065,0.062473956207962845,-0.026097537286665883
HENRY FORD HEALTH HOSPITAL,MI,COPD,264.0,1.02,19.91,19.46,54,07/01/2020,06/30/2023,0.16968902151527065,1.1275017042887014,1.221836845908681
UPHS MARQUETTE DLP HOSPITAL,MI,Pneumonia,144.0,0.93,15.17,16.31,17,07/01/2020,06/30/2023,-1.242486704431543,-0.958544380795058,-0.4652847451064874
UPHS MARQUETTE DLP HOSPITAL,MI,COPD,90.0,0.99,19.85,20.13,17,07/01/2020,06/30/2023,-0.3010362204670012,1.101096057642072,1.5806849303468269
DICKINSON COUNTY MEMORIAL HOSPITAL,MI,Pneumonia,86.0,0.98,15.14,15.37,12,07/01/2020,06/30/2023,-0.45794463446109174,-0.9717472041183726,-0.9687432516316481
MUNSON HEALTHCARE GRAYLING HOSPITAL,MI,Pneumonia,92.0,1.0,15.32,15.35,14,07/01/2020,06/30/2023,-0.14412780647291057,-0.8925302641784831,-0.9794551347492045
MERCY HEALTH SAINT MARY'S,MI,Pneumonia,160.0,1.0,17.41,17.38,28,07/01/2020,06/30/2023,-0.14412780647291057,0.027266427345790444,0.10780100168279184
MERCY HEALTH SAINT MARY'S,MI,COPD,67.0,1.04,19.77,18.92,16,07/01/2020,06/30/2023,0.4835058495034518,1.0658885287798983,0.9326160017346529
TRINITY HEALTH MUSKEGON HOSPITAL,MI,Pneumonia,348.0,0.89,14.93,16.8,44,07/01/2020,06/30/2023,-1.8701203604079053,-1.0641669673815775,-0.20284360872634916
TRINITY HEALTH MUSKEGON HOSPITAL,MI,COPD,132.0,0.95,18.89,19.81,22,07/01/2020,06/30/2023,-0.9286698764433635,0.678605711295994,1.4092948004659207
SAINT JOSEPH MERCY LIVINGSTON HOSPITAL,MI,Pneumonia,204.0,0.87,13.82,15.86,19,07/01/2020,06/30/2023,-2.1839371883960865,-1.5526714303442297,-0.7063021152515109
COVENANT MEDICAL CENTER,MI,Pneumonia,635.0,1.12,19.37,17.27,131,07/01/2020,06/30/2023,1.7387731614561766,0.889850884469033,0.048885644536230746
COVENANT MEDICAL CENTER,MI,COPD,209.0,1.08,19.71,18.25,46,07/01/2020,06/30/2023,1.1111395054798143,1.039482882133269,0.5737679172965052
HOLLAND COMMUNITY HOSPITAL,MI,Pneumonia,108.0,0.95,14.08,14.78,12,07/01/2020,06/30/2023,-0.9286698764433635,-1.4382469615421671,-1.2847438035995682
BRONSON BATTLE CREEK HOSPITAL,MI,Pneumonia,256.0,1.01,16.91,16.73,44,07/01/2020,06/30/2023,0.012780607521180043,-0.19278062804279178,-0.24033519963779748
BRONSON BATTLE CREEK HOSPITAL,MI,COPD,107.0,1.05,19.65,18.74,24,07/01/2020,06/30/2023,0.6404142634975425,1.013077235486638,0.8362090536766416
ASCENSION ST MARY'S HOSPITAL,MI,Pneumonia,192.0,0.97,17.21,17.72,31,07/01/2020,06/30/2023,-0.6148530484551824,-0.060752394809642125,0.2899030146812543
ASCENSION ST MARY'S HOSPITAL,MI,COPD,75.0,0.96,17.64,18.3,11,07/01/2020,06/30/2023,-0.7717614624492729,0.12848807282453845,0.6005476250903972
MCLAREN CENTRAL MICHIGAN,MI,Pneumonia,74.0,1.02,15.89,15.6,13,07/01/2020,06/30/2023,0.16968902151527065,-0.6416766210354993,-0.8455565957797468
MUNSON HEALTHCARE CADILLAC HOSPITAL,MI,Pneumonia,100.0,0.98,14.5,14.84,13,07/01/2020,06/30/2023,-0.45794463446109174,-1.253407435015758,-1.252608154246898
BEAUMONT HOSPITAL - GROSSE POINTE,MI,Pneumonia,247.0,1.09,19.1,17.57,53,07/01/2020,06/30/2023,1.268047919473905,0.7710254745591989,0.2095638912995804
BEAUMONT HOSPITAL - GROSSE POINTE,MI,COPD,200.0,1.04,19.78,19.02,42,07/01/2020,06/30/2023,0.4835058495034518,1.0702894698876706,0.9861754173224349
HENRY FORD ALLEGIANCE HEALTH,MI,Pneumonia,518.0,1.03,16.56,16.03,88,07/01/2020,06/30/2023,0.32659743550936127,-0.3468135668147999,-0.6152511087522787
HENRY FORD ALLEGIANCE HEALTH,MI,COPD,242.0,1.0,18.23,18.26,44,07/01/2020,06/30/2023,-0.14412780647291057,0.3881435981830654,0.5791238588552844
COREWELL HEALTH BIG RAPIDS HOSPITAL,MI,Pneumonia,106.0,0.96,14.57,15.12,13,07/01/2020,06/30/2023,-0.7717614624492729,-1.2226008472613565,-1.102641790601106
COREWELL HEALTH BIG RAPIDS HOSPITAL,MI,COPD,67.0,1.05,19.24,18.29,16,07/01/2020,06/30/2023,0.6404142634975425,0.8326386500680005,0.595191683531618
MYMICHIGAN MEDICAL CENTER WEST BRANCH,MI,Pneumonia,104.0,1.05,16.34,15.64,20,07/01/2020,06/30/2023,0.6404142634975425,-0.4436342711857756,-0.8241328295446331
MUNSON MEDICAL CENTER,MI,Pneumonia,263.0,1.02,15.89,15.61,43,07/01/2020,06/30/2023,0.16968902151527065,-0.6416766210354993,-0.8402006542209686
MUNSON MEDICAL CENTER,MI,COPD,158.0,0.96,17.37,18.08,25,07/01/2020,06/30/2023,-0.7717614624492729,0.009662662914704242,0.4827169107972731
PROMEDICA MONROE REGIONAL HOSPITAL,MI,Pneumonia,195.0,1.12,18.07,16.12,43,07/01/2020,06/30/2023,1.7387731614561766,0.317728540458719,-0.567047634723274
PROMEDICA MONROE REGIONAL HOSPITAL,MI,COPD,112.0,1.07,21.21,19.85,28,07/01/2020,06/30/2023,0.9542310914857236,1.6996240482990155,1.4307185667010354
TAWAS ST JOSEPH HOSPITAL,MI,Pneumonia,98.0,1.05,15.35,14.68,18,07/01/2020,06/30/2023,0.6404142634975425,-0.8793274408551685,-1.3383032191873512
HARPER UNIVERSITY HOSPITAL,MI,Pneumonia,74.0,1.07,22.66,21.1,22,07/01/2020,06/30/2023,0.9542310914857236,2.3377605089259035,2.100211261548324
HARPER UNIVERSITY HOSPITAL,MI,COPD,80.0,0.98,21.25,21.59,16,07/01/2020,06/30/2023,-0.45794463446109174,1.7172278127301017,2.36265239792846
MCLAREN NORTHERN MICHIGAN,MI,Pneumonia,227.0,0.85,15.01,17.69,23,07/01/2020,06/30/2023,-2.4977540163842678,-1.0289594385194043,0.2738351900049206
MCLAREN NORTHERN MICHIGAN,MI,COPD,118.0,0.92,17.04,18.53,15,07/01/2020,06/30/2023,-1.3993951184256337,-0.13556839364176082,0.7237342809422985
COREWELL HEALTH LUDINGTON HOSPITAL,MI,Pneumonia,136.0,0.95,15.83,16.69,18,07/01/2020,06/30/2023,-0.9286698764433635,-0.6680822676821294,-0.26175896587291025
COREWELL HEALTH LUDINGTON HOSPITAL,MI,COPD,63.0,1.01,19.63,19.43,13,07/01/2020,06/30/2023,0.012780607521180043,1.0042753532710949,1.2057690212323455
BORGESS MEDICAL CENTER,MI,Pneumonia,279.0,0.96,16.41,17.09,43,07/01/2020,06/30/2023,-0.7717614624492729,-0.412827683431374,-0.04752130352177866
MEMORIAL HEALTHCARE,MI,Pneumonia,195.0,1.0,16.87,16.84,33,07/01/2020,06/30/2023,-0.14412780647291057,-0.21038439247387797,-0.18141984249123638
BEAUMONT HOSPITAL ROYAL OAK,MI,Pneumonia,862.0,1.04,18.14,17.47,159,07/01/2020,06/30/2023,0.4835058495034518,0.34853512821312066,0.15600447571179654
BEAUMONT HOSPITAL ROYAL OAK,MI,COPD,355.0,0.91,18.64,20.56,60,07/01/2020,06/30/2023,-1.5563035324197243,0.5685821836017029,1.810990417374294
HURLEY MEDICAL CENTER,MI,Pneumonia,127.0,1.0,16.32,16.25,21,07/01/2020,06/30/2023,-0.14412780647291057,-0.4524361534013187,-0.49742039445915653
HURLEY MEDICAL CENTER,MI,COPD,101.0,0.98,17.3,17.72,16,07/01/2020,06/30/2023,-0.45794463446109174,-0.021143924839697393,0.2899030146812543
MUNSON HEALTHCARE OTSEGO MEMORIAL HOSPITAL,MI,Pneumonia,123.0,1.03,15.54,15.11,21,07/01/2020,06/30/2023,0.32659743550936127,-0.7957095598075075,-1.1079977321598842
MCLAREN FLINT,MI,Pneumonia,330.0,1.06,17.49,16.43,62,07/01/2020,06/30/2023,0.797322677491633,0.062473956207962845,-0.4010134464011471
MCLAREN FLINT,MI,COPD,154.0,1.03,18.83,18.24,31,07/01/2020,06/30/2023,0.32659743550936127,0.6522000646493631,0.5684119757377261
COREWELL HEALTH WAYNE HOSPITAL,MI,Pneumonia,141.0,1.04,18.76,18.09,29,07/01/2020,06/30/2023,0.4835058495034518,0.621393476894963,0.48807285235605224
COREWELL HEALTH WAYNE HOSPITAL,MI,COPD,82.0,0.99,19.24,19.48,15,07/01/2020,06/30/2023,-0.3010362204670012,0.8326386500680005,1.2325487290262376
HENRY FORD HEALTH WYANDOTTE HOSPITAL,MI,Pneumonia,355.0,1.11,18.85,17.03,74,07/01/2020,06/30/2023,1.581864747462086,0.6610019468649078,-0.07965695287444782
HENRY FORD HEALTH WYANDOTTE HOSPITAL,MI,COPD,261.0,1.1,22.16,20.14,64,07/01/2020,06/30/2023,1.4249563334679953,2.1177134535373217,1.586040871905606
BEAUMONT HOSPITAL - FARMINGTON HILLS,MI,Pneumonia,347.0,1.07,19.88,18.52,74,07/01/2020,06/30/2023,0.9542310914857236,1.114298880965386,0.7183783393835194
BEAUMONT HOSPITAL - FARMINGTON HILLS,MI,COPD,199.0,1.09,21.93,20.15,49,07/01/2020,06/30/2023,1.268047919473905,2.0164918080585736,1.5913968134643832
TRINITY HEALTH ANN ARBOR HOSPITAL,MI,Pneumonia,732.0,1.07,17.58,16.5,133,07/01/2020,06/30/2023,0.9542310914857236,0.10208242617790758,-0.36352185548969884
TRINITY HEALTH ANN ARBOR HOSPITAL,MI,COPD,297.0,0.95,19.93,20.95,56,07/01/2020,06/30/2023,-0.9286698764433635,1.1363035865042446,2.0198721381666482
ASCENSION ST JOHN HOSPITAL,MI,Pneumonia,286.0,1.04,20.28,19.44,61,07/01/2020,06/30/2023,0.4835058495034518,1.2903365252762529,1.2111249627911247
ASCENSION ST JOHN HOSPITAL,MI,COPD,182.0,1.05,23.05,22.02,45,07/01/2020,06/30/2023,0.6404142634975425,2.509397212128998,2.5929578849559274
MCLAREN GREATER LANSING,MI,Pneumonia,230.0,1.01,16.63,16.44,39,07/01/2020,06/30/2023,0.012780607521180043,-0.3160069790603983,-0.395657504842368
MCLAREN GREATER LANSING,MI,COPD,93.0,0.93,18.49,19.79,13,07/01/2020,06/30/2023,-1.242486704431543,0.5025680669851272,1.3985829173483644
